logFC AveExpr t P.Value adj.P.Val B
ENSG00000167779 -3.64900303989476 3.70469145539436 -31.2180899780138 3.06412978536093e-156 5.68487999078014e-152 346.482328478297
ENSG00000119927 -3.54644517829457 4.74878018365817 -30.6238906158737 7.71556138666269e-152 7.15734052033764e-148 336.347507030274
ENSG00000163815 -4.15098508497294 3.05417876908153 -30.1064964805456 5.15240943367145e-148 3.18642174076355e-144 327.577693545891
ENSG00000169418 -3.55742538452114 3.31476462895875 -29.4340820768874 4.6775205970939e-143 2.16955099094708e-139 316.192971799326
ENSG00000186642 -3.26093172471668 3.10602453524724 -28.7819216730755 2.90194600748692e-138 1.0767960855381e-134 305.182288850973
ENSG00000165197 -5.95436327829218 -0.281824512346322 -28.6550313074083 2.47252054676549e-137 7.6454456173567e-134 302.736722270006
ENSG00000149090 -3.78642986644869 2.49450034451615 -27.6871457170449 2.91923990447555e-130 7.73723684967642e-127 286.789597905563
ENSG00000266964 -4.18619954966826 -0.647031495618991 -27.5765968474124 1.86190495722497e-129 4.31799033392436e-126 284.6187907432
ENSG00000137070 -1.93297661650627 3.1082806133167 -27.5476140314452 3.02560461671056e-129 6.23711582820344e-126 284.470724161862
ENSG00000168874 -3.9884593470446 0.992701256222242 -27.2932866265839 2.13324419007469e-127 3.59800722349597e-124 280.119720632229
ENSG00000237560 -4.3231607125626 -5.75190160788983 -27.3651297988205 6.41688748317836e-128 1.19052513475408e-124 280.004327014967
ENSG00000138640 -2.37523909398847 4.14909281642676 -27.2599099067223 3.72662193808991e-127 5.76166806811517e-124 279.639504085536
ENSG00000159433 -2.32413749374608 3.09338539080815 -27.227890634148 6.36318939566537e-127 9.0812502198292e-124 279.135383049878
ENSG00000154736 -3.2164501582921 3.56680798022481 -27.1593601782378 1.99887642804267e-126 2.64893959781968e-123 277.986297992152
ENSG00000277494 -4.38645980163705 1.84116495686579 -27.0676120032611 9.24426702453157e-126 1.14339257404089e-122 276.444607142996
ENSG00000165810 -4.48558942002878 2.50415059838778 -26.9971857769618 2.99258464663783e-125 3.47008893431698e-122 275.288778716744
ENSG00000148180 -2.64465021161123 8.91841407546571 -26.9185053892622 1.11083809726744e-124 1.21231642462369e-121 273.904622756376
ENSG00000105974 -3.34272774654585 6.24842539839445 -26.825061170307 5.26783018427876e-124 5.4296696338291e-121 272.337333983915
ENSG00000022267 -4.38801905267837 5.06128955907681 -26.7128561890172 3.40872187453472e-123 3.29765171041159e-120 270.514644761277
ENSG00000123243 -4.19520012370767 4.04551146267958 -26.7103327058221 3.55484472636402e-123 3.29765171041159e-120 270.51268219335
ENSG00000133800 -4.71052644382998 1.31727432858377 -26.615001686293 1.73446149207889e-122 1.5323554315495e-119 268.904299207259
ENSG00000119771 -3.02585853181522 2.13745104687887 -26.6041194574277 2.0782722032477e-122 1.75264473576612e-119 268.75214590358
