,logFC,logCPM,LR,PValue,FDR,direction
ENSG00000119927,-3.8906404242338,6.06947952849792,1527.78133772587,0,0,down
ENSG00000163815,-4.23764014389733,4.61687257422191,1447.98778404467,7.84704159191608e-317,7.27930813271625e-313,down
ENSG00000167779,-3.5700603049269,4.80885291303757,1367.75918795737,2.130513770291e-299,1.31758073267363e-295,down
ENSG00000169418,-3.60311951042935,4.44159124568073,1310.14623695291,7.05194183871926e-287,3.27086692334396e-283,down
ENSG00000133800,-4.74527679552391,3.43282815654034,1294.57706324219,1.70491918746347e-283,6.32627313700197e-280,down
ENSG00000135437,-4.08748057351032,1.42097173365309,1182.91831902986,3.14519132259652e-259,9.72545576802222e-256,down
ENSG00000101605,-3.35058331285461,2.57312370664402,1103.42517484232,5.94899500060798e-242,1.57673863208971e-238,down
ENSG00000173641,-4.79696330385637,4.65641619988869,1075.79028595791,6.03644224434904e-236,1.3999264119926e-232,down
ENSG00000120049,-4.77455610594916,4.05024199004773,1068.35200346471,2.49739591895199e-234,5.14824294270182e-231,down
ENSG00000181856,-4.44295998782628,2.4659146005867,1039.95646396782,3.70970190087055e-228,6.88260993668514e-225,down
ENSG00000148180,-2.51595091990805,9.45637318770039,1027.98838420639,1.48143687067337e-225,2.49864529650937e-222,down
ENSG00000022267,-4.24854792409788,6.92512809330764,1022.401467613,2.4268768961185e-224,3.75215392114054e-221,down
ENSG00000170145,-2.25010670684797,5.99999225540874,1012.71937243129,3.08709599631106e-222,4.40576092458147e-219,down
ENSG00000134962,-4.24182969190799,2.43064255098405,995.875919605721,1.41479712864054e-218,1.874909366262e-215,down
ENSG00000266964,-3.91028733559772,0.937523017612051,991.763679759724,1.10803230628402e-217,1.37048822523249e-214,down
ENSG00000079308,-2.7592096552706,8.09235915296153,985.37049157148,2.7177975053046e-216,3.15145606974477e-213,down
ENSG00000056998,-3.80403812955704,5.23157267127799,982.794813442576,9.86474115236336e-216,1.07659142705763e-212,down
