logFC AveExpr t P.Value adj.P.Val B
ENSG00000204071 -8.83498191708213 -6.15909104405172 -17.3861450868467 7.78799906178501e-47 1.44482958594236e-42 90.6897387706882
ENSG00000224958 -10.2464457116576 -5.91445106689947 -15.4649489430526 1.00250400329993e-39 9.29922713461012e-36 76.5458301761608
ENSG00000119973 -7.94291730614441 -6.18609356262405 -14.6234731409104 1.25112598093307e-36 7.73696306609009e-33 69.0628048369419
ENSG00000258537 -9.22454900407861 -5.49308926771623 -14.0430474094228 1.65603285520928e-34 7.68068038246063e-31 65.3352227140799
ENSG00000197245 -4.92022464429765 -0.322941213537917 -13.7517775603179 1.89741404077002e-33 7.04016505687306e-30 64.245077167108
ENSG00000198932 -4.88008530081533 1.58869140937305 -13.0480552110099 6.57029749173339e-31 2.03153598444396e-27 59.0970823496931
ENSG00000059915 -5.02495522268794 2.03296881408516 -12.9585541592714 1.37501273066427e-30 3.64417659704051e-27 58.4975438397674
ENSG00000165995 -5.02698155313864 -0.303273065843373 -12.6234021515239 2.15865080979338e-29 5.00591122791086e-26 55.1915157167683
ENSG00000163815 -6.09128055776792 0.337946569305498 -12.4294582597086 1.05258908292764e-28 2.16973696294151e-25 54.0129329657096
ENSG00000132622 -4.33224054365372 1.57204978397133 -12.1048535092509 1.4683561043668e-27 2.72409424482128e-24 51.5799656788668
ENSG00000154721 -5.04988253852512 1.65618251728126 -11.8572095922576 1.08050612345449e-26 1.8223226911207e-23 49.7157237268206
ENSG00000147113 -4.76612698965223 2.23542070677398 -11.7382295755321 2.80526097860189e-26 4.33693347291852e-23 48.8402301676746
ENSG00000169744 -4.85849877382224 2.34563850542076 -11.6709673208973 4.80379527029338e-26 6.85538537342176e-23 48.3290599208637
ENSG00000173641 -6.87646140469354 0.113235844175081 -11.5259196834865 1.52673597430779e-25 1.88826705302387e-22 46.979525282194
ENSG00000141052 -8.20648940061933 -1.67876165422976 -11.5458108772943 1.30325107377673e-25 1.72699385147899e-22 46.8618841661208
ENSG00000163792 -10.6325574509622 -4.84386064229103 -11.3713181948557 5.20653292142993e-25 6.036974922398e-22 45.0536018815243
ENSG00000166086 -4.26118032043842 2.94000031512476 -11.1897677954176 2.18178090185579e-24 2.25309591482923e-21 44.6352766193478
ENSG00000133107 -5.95136458366401 -1.28882076922214 -11.1895189543813 2.1860568384501e-24 2.25309591482923e-21 44.0957070643453
ENSG00000072163 -5.23267289285585 2.83962170418681 -11.1159313136838 3.8976262502735e-24 3.80572432605653e-21 44.0494845298182
ENSG00000120279 -4.19024928641851 1.49948124326984 -11.0581362625262 6.13188498744937e-24 5.41708239462671e-21 43.5047771133627
ENSG00000153902 -4.57782083135854 0.905778334482771 -11.0647948151322 5.82025136738713e-24 5.3988651683883e-21 43.4797718412067
ENSG00000130176 -7.78560866953114 2.30289814107148 -11.0126120863615 8.75635713926095e-24 7.3839971657986e-21 43.2919493745732
ENSG00000145936 -5.72538058322925 1.61539539695349 -10.9938684773864 1.01381141652534e-23 8.17749104320785e-21 43.0615194117732
ENSG00000126785 -4.07783262354081 1.78349931071034 -10.9679805892006 1.2410092438962e-23 9.59300145531764e-21 42.868122490753
ENSG00000163431 -6.55051640623436 2.58070368543401 -10.8206327215147 3.9087241685515e-23 2.78902502980644e-20 41.8197528877774
ENSG00000172346 -6.97505484328759 -0.192440650434701 -10.8355157476079 3.4820196659057e-23 2.5839371536753e-20 41.7601710888931
ENSG00000118777 -4.97211698029754 0.523862534257732 -10.8007268694814 4.56181860482117e-23 3.02253066988009e-20 41.474384875843
ENSG00000182916 -5.78164749040253 -0.638573000629515 -10.7745965300003 5.58659471596812e-23 3.57387948864278e-20 41.1455654377432
ENSG00000197380 -5.46488478264873 1.11109207975688 -10.7231912945547 8.31817838040158e-23 4.82246391603781e-20 40.9420920519699
ENSG00000092051 -6.38710832593935 -1.63035009785595 -10.7556311959629 6.47096698445457e-23 3.94823896736606e-20 40.811923268646
ENSG00000150625 -8.68401195644663 -3.3638354124762 -10.7531324825411 6.59742388897951e-23 3.94823896736606e-20 40.6887678928843
ENSG00000146352 -7.72121742006799 -5.42479477843608 -10.8081069963772 4.30789737590574e-23 2.96000415251123e-20 40.4499429307028
ENSG00000267532 -4.35134062895294 -1.25835893209902 -10.64832597632 1.48317874916248e-22 8.33816125892798e-20 39.8262930389691
ENSG00000103710 -5.10065440049022 1.50201236265181 -10.5506683664172 3.14565045307358e-22 1.66737449158346e-19 39.6659058807942
