logFC AveExpr t P.Value adj.P.Val B
ENSG00000233123 -8.1688569636269 -5.37462692845844 -23.43876302914 4.26633094573595e-54 7.42000278082397e-50 110.844337215387
ENSG00000177570 -4.47893489802354 1.36739617440592 -21.6371770254579 8.408981496456e-50 7.31245030931814e-46 102.765011510028
ENSG00000198883 -7.20210031220912 -2.37137362302586 -20.6370551179481 2.42984572333687e-47 1.40866256067583e-43 96.9869334325343
ENSG00000198785 -4.87907543874518 0.302416437265855 -20.3742314693931 1.09978634681597e-46 4.78187103595585e-43 95.6154299445519
ENSG00000144550 -4.55983310368977 -0.446069480855295 -20.2101300209675 2.83548809809241e-46 9.86296180040464e-43 94.4713514756646
ENSG00000156097 -4.52383201426998 -0.483121845203447 -20.0037736200118 9.37388251760336e-46 2.71717607910263e-42 93.27484299326
ENSG00000107864 -3.67752632234805 2.35465708878732 -19.7403461958701 4.34658748323115e-45 1.07994070726223e-41 92.0351523035786
ENSG00000198626 -6.46399237419938 0.460625104287842 -19.5367863433892 1.43054649664922e-44 3.11000808371539e-41 90.839056193034
ENSG00000132938 -5.24519509766495 -0.557822073389397 -19.5072289574921 1.70139748873754e-44 3.2878561249026e-41 90.5647197356109
ENSG00000160396 -6.18044708776685 -2.10742140184887 -19.0613139069094 2.35750585696362e-43 4.10017418643112e-40 87.8042276139534
ENSG00000164600 -8.13799020955385 -2.71499254292633 -19.0000327502096 3.38968824611063e-43 5.35940527057782e-40 87.6335340327948
ENSG00000113319 -3.98866954607116 2.85666658629517 -18.7531435274545 1.47061097590733e-42 2.13140550774836e-39 86.2641067254195
ENSG00000174145 -7.34207541356112 -2.84218483505955 -18.6424647652853 2.84596535972463e-42 3.80746381048699e-39 85.4282472624259
ENSG00000169035 -8.1366024200992 -3.77542967689559 -18.5796226071035 4.14296360066054e-42 5.14674449590629e-39 84.9981611280643
ENSG00000165985 -7.26142674961016 -1.20366143486517 -18.4413073621039 9.4832908649639e-42 1.04482416215013e-38 84.3872174779356
ENSG00000119698 -5.32423561642655 0.601642121148247 -18.4365303148457 9.75882796881106e-42 1.04482416215013e-38 84.3745229434498
ENSG00000152034 -7.47431210330262 -4.17480258910517 -18.4289481683576 1.02127476751106e-41 1.04482416215013e-38 83.7706298934737
ENSG00000169676 -7.21306247371061 -4.75740821064165 -18.4128432640833 1.12484213915222e-41 1.08684747134085e-38 83.2935667849936
ENSG00000159753 -4.27960283370264 1.15328599177454 -18.2410392561074 3.15795417905845e-41 2.8906915306413e-38 83.2048755749702
ENSG00000007264 -4.24262842455403 1.40093951003619 -18.151275404903 5.42283641136087e-41 4.71569854331941e-38 82.6755131786922
ENSG00000033122 -4.74842532006512 1.93505483036293 -18.0409838235586 1.05510071215088e-40 8.73824361225151e-38 82.0230886091049
ENSG00000100346 -5.44904321173715 0.509480187188378 -17.8177998897959 4.07446828968846e-40 3.22105238610281e-37 80.6758327393094
ENSG00000196972 -3.93228472626505 2.25639044441666 -17.6875927622541 8.98497605159857e-40 6.51111264539176e-37 79.8995238264754
ENSG00000261340 -7.20751110984092 -3.9267466541325 -17.7388429515072 6.58017511796842e-40 4.97575676746551e-37 79.721213241804
