logFC AveExpr t P.Value adj.P.Val B
ENSG00000233123 -8.02503290157898 -5.37462692845844 -21.435641468969 4.80577731956855e-49 8.35820791419362e-45 99.3722817623899
ENSG00000177570 -4.55193169147225 1.36739617440592 -20.834675173334 1.40334335415649e-47 1.22034738077448e-43 97.6625179462632
ENSG00000156097 -4.64094171825864 -0.483121845203447 -19.5325744219323 2.45223218784647e-44 1.42164074036753e-40 89.9846914658482
ENSG00000144550 -4.59901449835297 -0.446069480855295 -19.271381224138 1.12438505966494e-43 4.88882623942317e-40 88.5183472799479
ENSG00000198785 -4.88882256294867 0.302416437265855 -19.1933783636562 1.77468315601234e-43 6.17305788987332e-40 88.2728085699683
ENSG00000107864 -3.71902487642826 2.35465708878732 -19.0563340393795 3.963924260555e-43 1.14900951232621e-39 87.5483234590793
ENSG00000198883 -7.16067338948966 -2.37137362302586 -18.9084665075916 9.45788719612247e-43 2.34987963021374e-39 86.478674714986
ENSG00000113319 -4.06448047827202 2.85666658629517 -18.4164883731174 1.73977502008786e-41 3.78227089367101e-38 83.8069104565309
ENSG00000198626 -6.51274400184372 0.460625104287842 -18.3613717124967 2.415176629355e-41 4.65100095820752e-38 83.4525564699412
ENSG00000132938 -5.27112689529191 -0.557822073389397 -18.3442640978719 2.67421858222604e-41 4.65100095820752e-38 83.249521744064
ENSG00000160396 -6.32209576103106 -2.10742140184887 -18.1515778202993 8.44477609003002e-41 1.33519587052547e-37 81.9269761857045
ENSG00000119698 -5.26902752979451 0.601642121148247 -17.1949607368737 2.70923756202819e-38 3.76827654844546e-35 76.5040282932253
ENSG00000007264 -4.24701170709204 1.40093951003619 -17.1885700733437 2.81667405300086e-38 3.76827654844546e-35 76.4689462666446
ENSG00000196972 -3.98615503876797 2.25639044441666 -17.092784401624 5.04787426371598e-38 6.27090208532488e-35 75.9007751189552
ENSG00000159753 -4.17659356675348 1.15328599177454 -16.9900059037926 9.45029118092396e-38 1.02724665136643e-34 75.2649419765957
ENSG00000033122 -4.68618438484442 1.93505483036293 -16.9711366231912 1.06046444139944e-37 1.08491750381288e-34 75.1636045646288
ENSG00000169676 -7.11050502051591 -4.75740821064165 -17.0567091139828 6.28990283659945e-38 7.29293267560917e-35 74.7811761929877
ENSG00000174145 -7.26534442009564 -2.84218483505955 -16.9168370679755 1.47780062896631e-37 1.42788380772122e-34 74.6594335432721
ENSG00000164600 -7.96606960796924 -2.71499254292633 -16.8514138308943 2.2051371454569e-37 1.83640291956554e-34 74.354328744006
ENSG00000204851 -3.94903300261784 3.15446824301769 -16.8098124719483 2.84487785564526e-37 2.24900525751738e-34 74.1885589053073
ENSG00000261340 -7.38165080338798 -3.9267466541325 -16.8767466469805 1.88845813995419e-37 1.72863494579386e-34 74.0530110536117
ENSG00000186862 -3.61120230680435 0.739200560258034 -16.7880342665778 3.25093123596638e-37 2.45826939373597e-34 73.9611865166007
ENSG00000152034 -7.3204645980426 -4.17480258910517 -16.8505102057005 2.21736783066216e-37 1.83640291956554e-34 73.9048862835166
ENSG00000165985 -7.06791122402537 -1.20366143486517 -16.6316653641506 8.48524089418e-37 6.14897123464911e-34 73.0745892047586
ENSG00000067842 -6.2470616097812 0.445728911053279 -16.5933141922947 1.07403079806198e-36 7.18443986149767e-34 72.859088893756
ENSG00000169035 -7.98540245879813 -3.77542967689559 -16.6225485479075 8.97407268036819e-37 6.24308288227854e-34 72.8255946186623
ENSG00000100346 -5.41211338247031 0.509480187188378 -16.5747759885844 1.20369033665435e-36 7.7535490129972e-34 72.746360785235
ENSG00000278195 -6.28020009061945 -2.19137998172289 -16.5305527932368 1.57998502782265e-36 9.81396414424696e-34 72.278488181149
ENSG00000169282 -3.41487133695776 2.66949635119289 -16.491583623645 2.00828366794959e-36 1.20441619148204e-33 72.2493727005593
ENSG00000153933 -3.71898171098943 1.65262408074478 -16.3262326047664 5.56617206263179e-36 3.02521451604038e-33 71.231825354061
ENSG00000147246 -6.82535952865235 -2.98525941229478 -16.3322697421952 5.36255584874931e-36 3.0085668168209e-33 71.0177077148457
ENSG00000172782 -7.0767358177843 -4.29863125020803 -16.3697688595049 4.25476482902344e-36 2.46662899687919e-33 70.8678283521992
ENSG00000123901 -5.81528336730091 -0.962847932177267 -16.252834790448 8.75886742850744e-36 4.61618855504852e-33 70.7339180545905
ENSG00000006740 -4.66000557717792 1.92739217350223 -16.1089357911057 2.13354867960609e-35 1.03074107321414e-32 69.9044164138211
ENSG00000204314 -3.31446162639481 3.49841380811204 -16.0986971064613 2.27324263201878e-35 1.06854691502894e-32 69.8428170315372
ENSG00000126583 -6.4126022408404 1.2438261172852 -16.0907366096972 2.38815965156251e-35 1.09302296473619e-32 69.7873874974234
